iter	Passed	Remaining
0	59	59293
1	59	29765
2	59	19918
3	60	15009
4	60	12052
5	60	10081
6	61	8671
7	61	7612
8	61	6787
9	61	6126
10	62	5599
11	62	5151
12	62	4771
13	63	4444
14	63	4161
15	63	3914
16	63	3696
17	64	3502
18	64	3329
19	64	3172
20	65	3031
21	65	2902
22	65	2788
23	66	2689
24	66	2590
25	66	2498
26	66	2412
27	67	2332
28	67	2258
29	67	2189
30	67	2123
31	68	2064
32	68	2012
33	69	1962
34	69	1913
35	69	1865
36	69	1820
37	70	1777
38	70	1736
39	70	1698
40	71	1661
41	71	1626
42	71	1592
43	71	1560
44	72	1528
45	72	1499
46	72	1473
47	73	1447
48	73	1421
49	73	1397
50	73	1372
51	74	1349
52	74	1329
53	74	1307
54	75	1288
55	75	1269
56	75	1249
57	75	1230
58	76	1212
59	76	1194
60	76	1177
61	76	1160
62	77	1145
63	77	1131
64	77	1119
65	78	1104
66	78	1089
67	78	1073
68	78	1060
69	78	1047
70	79	1034
71	79	1022
72	79	1010
73	79	998
74	80	987
75	80	976
76	80	965
77	80	954
78	80	944
79	81	934
80	81	924
81	81	915
82	82	906
83	82	898
84	82	888
85	82	879
86	82	870
87	83	862
88	83	856
89	83	849
90	84	842
91	84	834
92	84	826
93	85	819
94	85	812
95	85	805
96	85	798
97	86	791
98	86	784
99	86	779
100	86	772
101	86	765
102	87	758
103	87	752
104	87	747
105	87	741
106	88	735
107	88	729
108	88	724
109	88	718
110	89	713
111	89	707
112	89	702
113	89	697
114	90	697
115	90	692
116	91	688
117	91	683
118	91	677
119	91	674
120	92	669
121	92	665
122	92	659
123	92	655
124	92	650
125	93	646
126	93	642
127	93	637
128	93	633
129	94	629
130	94	625
131	94	621
132	94	617
133	94	613
134	95	610
135	95	607
136	95	603
137	95	599
138	96	595
139	96	592
140	96	588
141	96	585
142	97	582
143	97	578
144	97	575
145	97	572
146	98	569
147	98	566
148	98	564
149	99	561
150	99	558
151	99	555
152	99	552
153	100	550
154	100	547
155	100	545
156	100	542
157	101	539
158	101	536
159	101	533
160	101	530
161	102	528
162	102	526
163	102	523
164	102	520
165	103	518
166	103	516
167	103	514
168	104	511
169	104	509
170	104	507
171	104	504
172	105	502
173	105	500
174	105	497
175	105	495
176	106	493
177	106	491
178	106	488
179	106	486
180	106	483
181	107	481
182	107	479
183	107	477
184	107	475
185	108	472
186	108	470
187	108	469
188	108	467
189	109	465
190	109	463
191	109	462
192	110	460
193	110	458
194	110	456
195	110	454
196	111	452
197	111	450
198	111	448
199	111	447
200	111	445
201	112	443
202	112	441
203	112	439
204	112	437
205	113	435
206	113	434
207	113	433
208	114	432
209	114	430
210	114	428
211	114	426
212	115	425
213	115	423
214	115	421
215	115	420
216	116	418
217	116	417
218	116	415
219	116	414
220	117	412
221	117	410
222	117	409
223	117	408
224	118	406
225	118	405
226	118	404
227	118	402
228	119	400
229	119	399
230	119	398
231	119	396
232	120	395
233	120	393
234	120	392
235	120	390
236	120	389
237	121	388
238	121	386
239	121	385
240	122	384
241	122	382
242	122	381
243	122	380
244	123	379
245	123	378
246	123	376
247	123	375
248	124	374
249	124	373
250	124	371
251	124	370
252	125	369
253	125	368
254	125	367
255	125	365
256	126	364
