iter	Passed	Remaining
0	57	57318
1	57	28789
2	57	19257
3	58	14493
4	58	11629
5	58	9721
6	58	8361
7	59	7341
8	59	6548
9	59	5910
10	59	5391
11	60	4958
12	60	4590
13	60	4274
14	60	4003
15	61	3772
16	61	3564
17	61	3377
18	62	3208
19	62	3056
20	62	2919
21	62	2794
22	63	2680
23	63	2579
24	63	2486
25	64	2399
26	64	2318
27	64	2241
28	64	2171
29	65	2108
30	65	2050
31	65	1993
32	66	1939
33	66	1887
34	66	1839
35	66	1793
36	67	1749
37	67	1708
38	67	1668
39	67	1631
40	68	1596
41	68	1562
42	68	1530
43	69	1499
44	69	1469
45	69	1441
46	69	1414
47	70	1388
48	70	1364
49	70	1340
50	70	1317
51	71	1295
52	71	1273
53	71	1252
54	71	1233
55	72	1214
56	72	1195
57	72	1178
58	72	1160
59	73	1144
60	73	1128
61	73	1112
62	73	1097
63	74	1082
64	74	1068
65	74	1055
66	74	1042
67	75	1029
68	75	1016
69	75	1004
70	75	992
71	76	980
72	76	968
73	76	958
74	76	948
75	77	938
76	77	927
77	77	917
78	77	908
79	78	898
80	78	888
81	78	879
82	78	869
83	78	860
84	79	852
85	79	844
86	79	836
87	79	828
88	80	820
89	80	813
90	80	806
91	80	798
92	81	791
93	81	784
94	81	777
95	81	771
96	82	764
97	82	758
98	82	752
99	82	746
100	83	740
101	83	735
102	83	729
103	84	724
104	84	719
105	84	715
106	85	710
107	85	706
108	85	701
109	86	696
110	86	691
111	86	686
112	86	681
113	87	676
114	87	671
115	87	667
116	87	661
117	87	657
118	88	652
119	88	648
120	88	644
121	88	639
122	89	635
123	89	631
124	89	627
125	90	624
126	90	619
127	90	615
128	90	612
129	90	608
130	91	604
131	91	601
132	91	598
133	92	594
134	92	591
135	92	587
136	92	585
137	93	581
138	93	578
139	93	575
140	93	572
141	94	568
142	94	565
143	94	561
144	94	558
145	94	555
146	95	552
147	95	549
148	95	546
149	95	543
150	96	540
151	96	538
152	96	535
153	96	532
154	97	529
155	97	527
156	97	524
157	97	522
158	98	519
159	98	517
160	98	513
161	98	511
162	99	508
163	99	506
164	99	503
165	99	501
166	100	498
167	100	496
168	100	494
169	100	492
170	100	489
171	101	487
172	101	484
173	101	482
174	101	480
175	102	477
176	102	475
177	102	473
178	102	471
179	102	469
180	103	466
181	103	465
182	103	462
183	103	460
184	104	458
185	104	456
186	104	454
187	104	452
188	105	450
189	105	448
190	105	447
191	105	445
192	106	443
193	106	441
194	106	440
195	106	438
196	107	436
197	107	434
198	107	433
199	107	431
200	108	430
201	108	428
202	108	427
203	108	425
204	109	423
205	109	421
206	109	420
207	109	418
208	110	417
209	110	415
210	110	413
211	110	412
212	111	410
213	111	409
214	111	407
215	111	406
216	112	404
217	112	402
218	112	401
219	112	399
220	112	398
221	113	396
222	113	395
223	113	393
224	113	392
225	114	391
226	114	390
227	114	388
228	115	387
229	115	385
230	115	384
231	115	383
232	116	381
233	116	380
234	116	379
235	116	377
236	116	376
237	117	375
238	117	373
239	117	372
240	117	371
241	118	369
242	118	368
243	118	367
244	118	366
245	119	364
246	119	363
247	119	362
248	119	361
249	119	359
250	120	358
251	120	357
252	120	356
253	120	355
254	121	353
255	121	352
256	121	351
257	121	350
258	122	349
259	122	347
260	122	346
261	122	345
262	122	344
263	123	343
264	123	341
265	123	340
266	123	339
267	124	338
268	124	337
269	124	336
270	124	335
271	124	334
272	125	333
273	125	332
274	125	331
275	125	330
276	126	329
277	126	328
278	126	327
279	126	326
280	127	325
281	127	324
282	127	323
283	127	322
284	128	321
285	128	320
286	128	319
287	128	318
288	129	317
289	129	316
290	129	315
291	129	314
292	130	313
293	130	312
294	130	311
295	130	311
296	131	310
297	131	309
298	131	308
299	131	307
300	132	306
301	132	305
302	132	305
303	132	304
304	133	303
305	133	302
306	133	301
307	133	300
308	134	300
309	134	299
310	134	298
311	134	297
312	135	296
313	135	295
314	135	294
315	135	293
316	136	293
317	136	292
318	136	291
319	136	290
320	136	289
321	137	288
322	137	287
323	137	287
324	137	286
325	138	285
326	138	284
327	138	284
328	138	283
329	139	282
330	139	281
331	139	281
332	139	280
333	140	279
334	140	278
335	140	278
336	140	277
337	141	276
338	141	275
339	141	274
340	141	274
341	142	273
342	142	272
343	142	271
344	142	271
345	143	270
346	143	269
347	143	268
348	143	268
349	143	267
350	144	266
351	144	265
352	144	265
353	144	264
354	145	263
355	145	263
356	145	262
357	145	261
358	146	260
359	146	260
360	146	259
361	146	259
362	147	258
363	147	257
364	147	256
365	147	256
366	148	255
367	148	254
368	148	254
369	148	253
370	149	252
371	149	252
372	149	251
373	149	250
374	150	250
375	150	249
376	150	248
377	150	248
378	150	247
379	151	246
380	151	246
381	151	245
382	151	244
383	152	243
384	152	243
385	152	242
386	152	241
387	152	241
388	153	240
389	153	239
390	153	239
391	153	238
392	154	238
393	154	237
394	154	236
395	154	236
396	155	235
397	155	235
398	155	234
399	155	233
400	156	233
401	156	232
402	156	231
403	156	231
404	156	230
405	157	230
406	157	229
407	157	228
408	157	228
409	158	227
410	158	227
411	158	226
412	158	225
413	159	225
414	159	224
415	159	224
416	159	223
417	160	222
418	160	222
419	160	221
420	160	221
421	161	220
422	161	220
423	161	219
424	161	218
425	162	218
426	162	217
427	162	217
428	162	216
429	162	215
430	163	215
431	163	214
432	163	214
433	163	213
434	164	213
435	164	212
436	164	211
437	164	211
438	165	210
439	165	210
440	165	209
441	165	209
442	166	208
443	166	208
444	166	207
445	166	207
446	166	206
447	167	205
448	167	205
449	167	204
450	167	204
451	168	203
452	168	203
453	168	202
454	168	202
455	169	201
456	169	201
457	169	200
458	169	200
459	169	199
460	170	198
461	170	198
462	170	197
463	170	197
464	171	196
465	171	196
466	171	195
467	171	195
468	172	194
469	172	194
470	172	193
471	172	193
472	172	192
473	173	192
474	173	191
475	173	191
476	173	190
477	174	190
478	174	189
479	174	189
480	174	188
481	175	188
482	175	187
483	175	187
484	176	186
485	176	186
486	176	185
487	176	185
488	177	185
489	177	184
490	177	184
491	177	183
492	178	183
493	178	182
494	178	182
495	178	181
496	179	181
497	179	180
498	179	180
499	179	179
500	180	179
501	180	178
502	180	178
503	180	177
504	181	177
505	181	176
506	181	176
507	181	175
508	181	175
509	182	175
510	182	174
511	182	174
512	182	173
513	183	173
514	183	172
515	183	172
516	183	171
517	183	171
518	184	170
519	184	170
520	184	169
521	184	169
522	185	168
523	185	168
524	185	168
525	185	167
526	186	167
527	186	166
528	186	166
529	186	165
